id,part,file,fps
PK281913,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/PK281913_part_2_disgust.mkv,30.3
PP667322,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/PP667322_part_2_neutral.mkv,30.3
PP667322,joy,/data/sit_21_hu_video_mix_home/processed/hrv/PP667322_part_2_joy.mkv,30.3
PP667322,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/PP667322_part_2_disgust.mkv,30.3
PS918811,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/PS918811_part_2_neutral.mkv,30.3
PS918811,joy,/data/sit_21_hu_video_mix_home/processed/hrv/PS918811_part_2_joy.mkv,30.3
PS918811,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/PS918811_part_2_disgust.mkv,30.3
QF331872,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/QF331872_part_2_neutral.mkv,30.3
QF331872,joy,/data/sit_21_hu_video_mix_home/processed/hrv/QF331872_part_2_joy.mkv,30.3
QF331872,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/QF331872_part_2_disgust.mkv,30.3
QL214527,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/QL214527_part_2_neutral.mkv,30.3
QL214527,joy,/data/sit_21_hu_video_mix_home/processed/hrv/QL214527_part_2_joy.mkv,30.3
QL214527,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/QL214527_part_2_disgust.mkv,30.3
RC782669,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/RC782669_part_2_neutral.mkv,30.3
RC782669,joy,/data/sit_21_hu_video_mix_home/processed/hrv/RC782669_part_2_joy.mkv,30.3
RC782669,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/RC782669_part_2_disgust.mkv,30.3
RQ113678,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/RQ113678_part_2_neutral.mkv,30.3
RQ113678,joy,/data/sit_21_hu_video_mix_home/processed/hrv/RQ113678_part_2_joy.mkv,30.3
RQ113678,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/RQ113678_part_2_disgust.mkv,30.3
RV423874,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/RV423874_part_2_neutral.mkv,30.3
RV423874,joy,/data/sit_21_hu_video_mix_home/processed/hrv/RV423874_part_2_joy.mkv,30.3
RV423874,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/RV423874_part_2_disgust.mkv,30.3
RV841636,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/RV841636_part_2_neutral.mkv,30.3
RV841636,joy,/data/sit_21_hu_video_mix_home/processed/hrv/RV841636_part_2_joy.mkv,30.3
RV841636,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/RV841636_part_2_disgust.mkv,30.3
RW924728,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/RW924728_part_2_neutral.mkv,30.3
RW924728,joy,/data/sit_21_hu_video_mix_home/processed/hrv/RW924728_part_2_joy.mkv,30.3
RW924728,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/RW924728_part_2_disgust.mkv,30.3
SA837977,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SA837977_part_2_neutral.mkv,30.3
SA837977,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SA837977_part_2_joy.mkv,30.3
SA837977,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SA837977_part_2_disgust.mkv,30.3
SD615341,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SD615341_part_2_neutral.mkv,30.3
SD615341,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SD615341_part_2_joy.mkv,30.3
SD615341,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SD615341_part_2_disgust.mkv,30.3
SF927458,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SF927458_part_2_neutral.mkv,30.3
SF927458,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SF927458_part_2_joy.mkv,30.3
SF927458,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SF927458_part_2_disgust.mkv,30.3
SF959913,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SF959913_part_2_neutral.mkv,30.3
SF959913,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SF959913_part_2_joy.mkv,30.3
SF959913,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SF959913_part_2_disgust.mkv,30.3
